time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,
59.221,-1.84,2.91,9.35,0,0,28.63445897,77.36615285

59.28,-1.53,2.76,9.35,0,0,28.63445897,77.36615285

59.34,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

59.4,-1.84,2.91,9.04,0,0,28.63445897,77.36615285

59.461,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

59.521,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

59.581,-1.84,2.91,9.04,0,0,28.63445897,77.36615285

59.64,-1.84,2.76,9.04,0,0,28.63445897,77.36615285

59.701,-1.69,2.76,9.19,0,0,28.63445897,77.36615285

59.761,-1.69,2.91,9.35,0,0,28.63445897,77.36615285

59.821,-2.3,3.06,8.89,0,0,28.63445897,77.36615285

59.881,-1.38,2.91,8.89,0,0,28.63445897,77.36615285

59.941,-1.23,3.52,9.19,0,0,28.63445897,77.36615285

60.001,-1.07,3.37,9.65,0,0,28.63445897,77.36615285

60.061,-1.07,2.91,8.89,0,0,28.63445897,77.36615285

60.12,-0.77,3.22,9.19,0,0,28.63445897,77.36615285

60.18,-0.77,2.91,9.5,0,0,28.63445897,77.36615285

60.242,-0.46,2.91,9.35,0,0,28.63445897,77.36615285

60.3,-0.77,4.14,9.5,0,0,28.63445897,77.36615285

60.361,-0.46,3.06,9.19,0,0,28.63445897,77.36615285

60.42,-0.61,3.06,9.5,0,0,28.63445897,77.36615285

60.48,-1.38,2.3,9.35,0,0,28.63445897,77.36615285

60.541,-0.92,3.22,9.35,0,0,28.63445897,77.36615285

60.601,-1.69,2.76,9.5,0,0,28.63445897,77.36615285

60.661,-0.61,3.37,9.81,0,0,28.63445897,77.36615285

60.721,-1.38,3.22,9.81,0,0,28.63445897,77.36615285

60.781,-1.23,4.14,8.43,0,0,28.63445897,77.36615285

60.84,-1.23,4.6,9.04,0,0,28.63445897,77.36615285

60.9,-0.92,4.14,7.81,0,0,28.63445897,77.36615285

60.971,-1.53,5.21,7.51,0,0,28.63445897,77.36615285

61.02,-0.31,5.06,7.81,0,0,28.63445897,77.36615285

61.081,-0.77,4.44,8.58,0,0,28.63445897,77.36615285

61.141,-0.92,5.36,7.81,0,0,28.63445897,77.36615285

61.201,-0.46,4.6,8.73,0,0,28.63445897,77.36615285

