time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
49.171,-0.83,4.25,8.65,0,0,0,0

49.202,-0.8,4.21,8.77,0,0,0,0

49.234,-0.83,4.17,8.99,0,0,0,0

49.266,-0.8,4.21,8.96,0,0,0,0

49.297,-0.76,4.21,8.99,0,0,0,0

49.329,-0.83,4.17,9.03,0,0,0,0

49.362,-0.83,4.06,8.84,0,0,0,0

49.395,-0.68,4.06,8.73,0,0,0,0

49.431,-0.68,4.06,8.96,0,0,0,0

49.469,-0.76,4.02,8.73,0,0,0,0

49.503,-0.57,4.21,8.84,0,0,0,0

49.535,-0.57,4.25,8.69,0,0,0,0

49.566,-0.57,4.25,8.92,0,0,0,0

49.598,-0.68,4.29,8.96,0,0,0,0

49.63,-0.76,4.21,8.8,0,0,0,0

49.661,-0.8,4.17,8.99,0,0,0,0

49.693,-0.8,4.06,8.99,0,0,0,0

49.724,-0.76,3.98,9.11,0,0,0,0

49.756,-0.8,3.9,9.19,0,0,0,0

49.788,-0.76,3.79,9.03,0,0,0,0

49.819,-0.61,3.87,8.99,0,0,0,0

49.851,-0.53,3.94,8.92,0,0,0,0

49.883,-0.41,3.94,9.07,0,0,0,0

49.914,-0.3,3.94,8.99,0,0,0,0

49.946,-0.3,4.02,8.88,0,0,0,0

49.978,-0.22,4.02,9.15,0,0,0,0

50.009,-0.22,3.87,9.15,0,0,0,0

50.041,-0.34,3.87,9.07,0,0,0,0

50.073,-0.34,3.87,8.96,0,0,0,0

50.104,-0.3,3.9,8.99,0,0,0,0

50.136,-0.26,3.87,9.03,0,0,0,0

50.167,-0.26,3.87,8.99,0,0,0,0

50.199,-0.22,3.98,8.99,0,0,0,0

50.231,-0.26,3.98,8.99,0,0,0,0

50.262,-0.26,3.94,9.03,0,0,0,0

50.294,-0.22,3.98,8.99,0,0,0,0

50.326,-0.07,4.02,8.84,0,0,0,0

50.357,-0.11,4.09,8.88,0,0,0,0

50.389,-0.11,4.13,8.84,0,0,0,0

50.421,-0.11,4.09,8.84,0,0,0,0

50.453,-0.15,4.13,8.96,0,0,0,0

50.486,-0.22,4.06,9.03,0,0,0,0

50.52,-0.15,4.02,9.03,0,0,0,0

50.558,-0.15,3.98,9.03,0,0,0,0

50.596,-0.15,3.98,8.8,0,0,0,0

50.627,-0.11,4.02,8.77,0,0,0,0

50.659,-0.22,3.98,8.77,0,0,0,0

50.69,-0.41,3.94,8.99,0,0,0,0

50.722,-0.41,3.98,9.11,0,0,0,0

50.754,-0.34,4.09,9.22,0,0,0,0

50.786,-0.26,4.13,9.26,0,0,0,0

50.818,-0.15,4.09,8.99,0,0,0,0

50.849,-0.15,4.09,8.92,0,0,0,0

50.881,-0.15,4.02,8.69,0,0,0,0

50.913,-0.19,3.9,8.84,0,0,0,0

50.945,-0.3,3.9,8.65,0,0,0,0

50.977,-0.26,3.9,8.61,0,0,0,0

51.009,-0.26,4.06,8.92,0,0,0,0

51.04,-0.26,4.09,8.99,0,0,0,0

51.072,-0.38,4.06,9.22,0,0,0,0

51.104,-0.26,4.02,9.03,0,0,0,0

51.135,-0.15,4.09,8.77,0,0,0,0

51.167,-0.19,4.13,8.96,0,0,0,0

51.198,-0.34,3.9,9.49,0,0,0,0

51.23,-0.3,3.79,9.41,0,0,0,0

51.262,-0.19,3.68,9.38,0,0,0,0

51.294,-0.11,3.79,9.03,0,0,0,0

51.325,-0.26,3.75,8.5,0,0,0,0

51.357,-0.41,3.79,8.54,0,0,0,0

51.389,-0.68,3.87,8.5,0,0,0,0

51.42,-0.95,3.94,8.58,0,0,0,0

51.452,-1.1,3.68,9.22,0,0,0,0

51.484,-1.06,3.47,9.83,0,0,0,0

51.515,-1.02,3.32,9.96,0,0,0,0

51.547,-0.83,3.26,9.64,0,0,0,0

51.579,-0.57,3.17,9.41,0,0,0,0

51.62,-0.49,3.06,9.07,0,0,0,0

51.658,-0.8,3.02,8.54,0,0,0,0

51.69,-0.91,3.09,8.61,0,0,0,0

51.728,-0.99,3.13,9.03,0,0,0,0

51.766,-1.02,3.13,9.26,0,0,0,0

51.8,-0.99,3.09,9.53,0,0,0,0

51.838,-0.95,3.26,9.64,0,0,0,0

51.869,-0.8,3.21,9.45,0,0,0,0

51.901,-0.53,3.36,9.45,0,0,0,0

51.932,-0.49,3.32,9.34,0,0,0,0

51.964,-0.38,3.21,9.34,0,0,0,0

51.995,-0.34,3.21,9.3,0,0,0,0

52.027,-0.53,3.13,9.26,0,0,0,0

52.066,-0.53,3.17,9.26,0,0,0,0

52.098,-0.49,3.26,9.3,0,0,0,0

52.129,-0.45,3.21,9.38,0,0,0,0

52.161,-0.38,3.17,9.34,0,0,0,0

52.193,-0.19,3.17,9.34,0,0,0,0

52.224,0,3.26,9.53,0,0,0,0

52.256,0.22,3.28,9.41,0,0,0,0

52.288,0.11,3.26,9.34,0,0,0,0

52.319,-0.07,3.28,9.6,0,0,0,0

52.351,-0.22,3.28,9.58,0,0,0,0

52.383,-0.38,3.28,9.34,0,0,0,0

52.414,-0.45,3.28,9.49,0,0,0,0

52.446,-0.45,3.28,9.34,0,0,0,0

52.477,-0.49,3.36,9.07,0,0,0,0

52.509,-0.53,3.36,8.8,0,0,0,0

52.541,-0.49,3.36,8.84,0,0,0,0

52.572,-0.41,3.32,8.88,0,0,0,0

52.604,-0.45,3.36,8.69,0,0,0,0

52.636,-0.49,3.36,8.73,0,0,0,0

52.667,-0.45,3.41,9.11,0,0,0,0

52.7,-0.38,3.32,9.11,0,0,0,0

52.733,-0.45,3.36,9.22,0,0,0,0

52.77,-0.45,3.45,9.26,0,0,0,0

52.808,-0.3,3.47,9.26,0,0,0,0

52.84,-0.26,3.51,9.19,0,0,0,0

52.871,-0.22,3.47,9.03,0,0,0,0

52.903,-0.26,3.47,8.96,0,0,0,0

52.935,-0.26,3.45,8.84,0,0,0,0

52.967,-0.38,3.45,9.07,0,0,0,0

52.999,-0.38,3.51,9.3,0,0,0,0

53.03,-0.41,3.47,9.41,0,0,0,0

53.062,-0.49,3.47,9.64,0,0,0,0

53.094,-0.49,3.45,9.53,0,0,0,0

53.125,-0.41,3.41,9.49,0,0,0,0

53.157,-0.38,3.45,9.11,0,0,0,0

53.189,-0.3,3.45,8.88,0,0,0,0

53.22,-0.34,3.45,8.88,0,0,0,0

53.252,-0.41,3.36,8.92,0,0,0,0

53.284,-0.38,3.36,8.96,0,0,0,0

53.315,-0.22,3.41,8.96,0,0,0,0

53.347,-0.26,3.45,8.99,0,0,0,0

53.379,-0.26,3.47,8.92,0,0,0,0

53.41,-0.22,3.51,9.11,0,0,0,0

53.442,-0.34,3.51,9.15,0,0,0,0

53.474,-0.38,3.45,9.19,0,0,0,0

53.505,-0.45,3.41,9.11,0,0,0,0

53.537,-0.45,3.36,8.96,0,0,0,0

53.569,-0.41,3.41,9.11,0,0,0,0

53.6,-0.41,3.32,9.19,0,0,0,0

53.632,-0.38,3.41,9.19,0,0,0,0

53.664,-0.38,3.45,9.34,0,0,0,0

53.695,-0.41,3.36,9.26,0,0,0,0

53.727,-0.34,3.45,9.11,0,0,0,0

53.759,-0.3,3.45,9.3,0,0,0,0

53.791,-0.34,3.41,9.3,0,0,0,0

53.83,-0.26,3.41,9.26,0,0,0,0

53.868,-0.3,3.41,9.26,0,0,0,0

53.906,-0.22,3.32,9.19,0,0,0,0

53.937,-0.3,3.41,8.99,0,0,0,0

53.969,-0.38,3.36,8.96,0,0,0,0

54.001,-0.41,3.41,9.11,0,0,0,0

54.032,-0.49,3.36,9.19,0,0,0,0

54.064,-0.49,3.41,9.15,0,0,0,0

54.095,-0.34,3.45,9.22,0,0,0,0

