time,x-axis,y-axis,z-axis,Event1,Event2, ,
52.494 s,-1.07,1.53,9.35,0,0,28.64549966,77.31796781

52.514 s,-1.07,1.53,9.35,0,0,28.64549966,77.31796781

52.534 s,-1.07,1.53,9.35,0,0,28.64549966,77.31796781

52.554 s,-1.23,1.69,9.35,0,0,28.64549966,77.31796781

52.574 s,-1.23,1.69,9.35,0,0,28.64549966,77.31796781

52.594 s,-1.38,1.69,9.04,0,0,28.64549966,77.31796781

52.614000000000004 s,-1.23,1.69,9.04,0,0,28.64549966,77.31796781

52.634 s,-1.23,1.69,9.04,0,0,28.64549966,77.31796781

52.654 s,-1.38,1.69,9.04,0,0,28.64549966,77.31796781

52.674 s,-1.38,1.69,9.04,0,0,28.64549966,77.31796781

52.694 s,-1.23,1.53,9.04,0,0,28.64549966,77.31796781

52.714 s,-1.23,1.53,9.04,0,0,28.64549966,77.31796781

52.734 s,-1.23,1.53,9.04,0,0,28.64549966,77.31796781

52.754 s,-1.23,1.69,9.19,0,0,28.64549966,77.31796781

52.774 s,-1.38,1.69,9.19,0,0,28.64549966,77.31796781

52.794000000000004 s,-1.38,1.69,9.19,0,0,28.64549966,77.31796781

52.814 s,-1.23,1.69,9.19,0,0,28.64549966,77.31796781

52.834 s,-1.23,1.69,9.19,0,0,28.64549966,77.31796781

52.854 s,-1.23,1.69,9.35,0,0,28.64549966,77.31796781

52.874 s,-1.23,1.69,9.35,0,0,28.64549966,77.31796781

52.894 s,-1.23,1.69,9.35,0,0,28.64549966,77.31796781

52.919000000000004 s,-1.23,1.69,9.19,0,0,28.64549966,77.31796781

52.94 s,-1.38,1.69,9.19,0,0,28.64549966,77.31796781

52.957 s,-1.38,1.69,9.19,0,0,28.64549966,77.31796781

52.977000000000004 s,-1.38,1.84,9.19,0,0,28.64549966,77.31796781

52.994 s,-1.38,1.84,9.19,0,0,28.64549966,77.31796781

53.014 s,-1.38,1.69,9.19,0,0,28.64549966,77.31796781

53.034 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

53.054 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

53.074 s,-1.23,1.69,8.89,0,0,28.64549966,77.31796781

53.094 s,-1.23,1.69,8.89,0,0,28.64549966,77.31796781

53.121 s,-1.23,1.84,8.73,0,0,28.64549966,77.31796781

53.137 s,-1.07,1.99,8.89,0,0,28.64549966,77.31796781

53.158 s,-1.07,1.99,8.89,0,0,28.64549966,77.31796781

53.176 s,-1.23,1.99,9.19,0,0,28.64549966,77.31796781

53.196 s,-1.23,1.84,9.5,0,0,28.64549966,77.31796781

53.214 s,-1.23,1.84,9.5,0,0,28.64549966,77.31796781

53.239000000000004 s,-1.07,1.84,9.5,0,0,28.64549966,77.31796781

53.263 s,-1.07,1.84,9.5,0,0,28.64549966,77.31796781

53.296 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.314 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.334 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

53.354 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

53.374 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

53.394 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

53.414 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

53.434000000000005 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.454 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

53.474000000000004 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

53.494 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

53.514 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

53.534 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.554 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.574 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.6 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

53.621 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

53.637 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

53.657000000000004 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.674 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.694 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.714 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.734 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.754 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

53.774 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

53.794000000000004 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

53.814 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.834 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.854 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

53.874 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.894 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.914 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.934000000000005 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.954 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.974000000000004 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

53.994 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.014 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.034 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

54.054 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

54.074 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.094 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.121 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

54.137 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.157000000000004 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.176 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.195 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.214 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.235 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

